Rank,Extension_ID,Total_Risk_Score,Risk_Level,Permission_Risk,Host_Risk,User_Factor,Rating_Factor,User_Count,Rating,Review_Count,Host_Permissions_Count,Risky_Permissions_Count,Additional_Flags
1,mfacblegickmnfpaebakfnlbfhpoegin,7472.0,Critical,31,7440,1.0,0.0,50000,4.121951219512195,41,930,5,Externally Connectable; Content Scripts; Web Accessible Resources
2,gjaokfmjhbebkhkjmkbljemcbnjeiogl,6321.0,Critical,0,6320,0.0,1.0,12,5.0,1,1580,0,Content Scripts; Web Accessible Resources
3,leallakffbiflfgpmamdgcojddnbfdgo,5544.0,Critical,0,5544,0.5,-0.5,9000,4.2773722627737225,137,1386,0,Content Scripts; Web Accessible Resources
4,baojgodaoeajkkjkflpojgphhnbbdeme,4753.0,Critical,14,4738,0.0,1.0,0,5.0,0,592,4,Web Accessible Resources
5,kekamfkadaognhaneljmbgpfjifcbfdc,3962.5,Critical,2,3960,0.5,0.0,4000,3.4285714285714284,21,495,1,Content Scripts
6,agkpclldfjffanjojbkhkakaliiohebe,3955.0,Critical,2,3952,0.0,1.0,299,1.4444444444444444,9,494,1,Content Scripts; Web Accessible Resources
7,fobklglmhojpeijoioelpdaicagiepbf,3629.5,Critical,44,3584,1.0,0.5,30000,2.515873015873016,126,448,9,Externally Connectable; Content Scripts; Web Accessible Resources
8,lcdlignfoefnkcfejmlnegoobondbfjb,3566.5,Critical,2,3564,1.0,-0.5,20000,4.133333333333334,120,446,1,Externally Connectable; Content Scripts
9,mlcgmadakngbelhbohoodkhpcaopddcc,3436.0,Critical,19,3416,0.0,1.0,516,5.0,4,427,4,Content Scripts; Web Accessible Resources
10,mknagjblcmbbofgibighnfajnnooeogj,3364.0,Critical,3,3360,0.0,1.0,30,5.0,0,840,2,
11,dfbjmoklkjlfmdbedlfcfkakjpfgppaj,3217.0,Critical,16,3200,0.0,1.0,5,5.0,1,400,3,
12,lokjgaehpcnlmkebpmjiofccpklbmoci,2963.0,Critical,27,2936,1.5,-1.5,200000,4.602909090909091,1375,368,5,Externally Connectable; Web Accessible Resources
13,jifommjndpnefcfplgnbhabocomgdjjg,2938.5,Critical,14,2924,0.5,0.0,4000,3.9885057471264367,87,366,3,Web Accessible Resources
14,gbobdaaeaihkghbokihkofcbndhmbdpd,2773.0,Critical,16,2756,1.0,0.0,10000,3.5104166666666665,96,345,3,Content Scripts; Web Accessible Resources
15,ppijmiphjmkkjccnhogcpejmcnbhifkn,2564.0,Critical,3,2560,0.0,1.0,63,4.0,4,320,2,
16,lgbccanlaoajneflbiegdimnipipidoo,2469.0,Critical,16,2452,0.0,1.0,32,5.0,1,613,3,Content Scripts
17,ecboojkidbdghfhifefbpdkdollfhicb,2354.0,Critical,13,2340,0.0,1.0,46,5.0,1,293,3,
18,dndbggnbbnadbhnlelpnnpngjmhijofk,2214.0,Critical,21,2192,0.0,1.0,962,5.0,0,284,4,Externally Connectable; Content Scripts; Web Accessible Resources
19,ijlhanbdodlfgklfafdmlnfodbndbkph,1698.5,Critical,25,1672,0.5,1.0,2000,5.0,9,209,5,
20,jpoalllfeijciocphdlgckpklijpaehp,1649.5,Critical,35,1614,0.5,0.0,3000,4.529411764705882,17,204,7,
21,gabmlabpkcpincifnadmjplohbbljdba,1608.5,Critical,0,1608,0.5,0.0,3000,3.1566265060240966,83,201,0,Content Scripts; Web Accessible Resources
22,loninhkhcebjhnkobpedkogjbnlpigci,1608.0,Critical,15,1592,0.0,1.0,5,5.0,1,199,2,
23,cmkkchmnekbopphncohohdaehlgpmegi,1608.0,Critical,7,1600,0.0,1.0,37,5.0,4,200,2,Content Scripts; Web Accessible Resources
24,mkcljmfneeccmgpijkelibdohninpdln,1590.5,Critical,28,1562,0.5,0.0,1000,4.862068965517241,29,196,5,Content Scripts; Web Accessible Resources
25,npapojppkmfhefbokolngnomlgkkpcnc,1580.5,Critical,28,1552,1.0,-0.5,10000,4.851851851851852,216,194,5,Content Scripts; Web Accessible Resources
26,eneohehdbadflaenpfheabnaikhdkkfa,1580.5,Critical,28,1552,0.5,0.0,1000,4.764705882352941,34,194,5,Content Scripts; Web Accessible Resources
27,phjamdlplhedfaffimnmlfgnegldeafh,1579.5,Critical,2,1576,0.5,1.0,1000,4.777777777777778,9,197,1,Content Scripts
28,pnlkofmhpdmehfbjppinbnpifbfciaco,1577.0,Critical,0,1576,0.0,1.0,10,5.0,0,197,0,Content Scripts
29,gefaihkenmchjmcpcbpdijpoknfjpbfe,1560.5,Critical,16,1544,1.0,-0.5,20000,3.9037433155080214,187,193,3,
30,onhfdppooafpnnigbmnpnnjmbajggekc,1560.5,Critical,16,1544,0.5,0.0,2000,4.5,16,193,3,
31,adbkopnhphmhpehfiilgnonejncdjajf,1553.5,Critical,8,1544,0.5,1.0,1000,4.166666666666667,6,193,2,
32,kohddgnpofoogkkjejnmcgleamcfbhhc,1551.5,Critical,14,1536,0.5,1.0,1000,4.25,8,192,2,
33,pipbbdfondfipmjmdkmggihiknhmcfhd,1550.5,Critical,18,1532,0.5,0.0,1000,4.553191489361702,47,195,3,Content Scripts; Web Accessible Resources
34,onnimgmpopjkpbnmnjgcfkndeefgkkig,1544.5,Critical,12,1532,0.5,0.0,5000,3.909090909090909,11,192,3,Content Scripts
35,kkkepmdbeomenffemkijoebfpigebmgg,1541.0,Critical,35,1506,0.5,-0.5,1000,5.0,203,188,7,Content Scripts; Web Accessible Resources
36,gamgpnolibdghflagmlghmpncjgonchn,1532.0,Critical,0,1532,0.5,-0.5,6000,4.984615384615385,260,192,0,Content Scripts; Web Accessible Resources
37,jeiahlnhacbbdkaniaednfjpaemaghol,1529.5,Critical,9,1520,1.0,-0.5,60000,4.713995943204869,493,190,2,Externally Connectable; Content Scripts
38,mfaepkdaodjclepbclabjbigjeohfdje,1523.0,Critical,2,1520,1.0,0.0,20000,3.610169491525424,59,190,1,Content Scripts; Web Accessible Resources
39,hhchghdnpepogpigkpalpljaoocjhadj,1523.0,Critical,18,1504,1.0,0.0,40000,3.357142857142857,14,188,3,Content Scripts
40,femgeaiikmjiliamggkifckcognabfmp,1521.0,Critical,13,1508,0.0,0.0,621,5.0,11,376,3,Content Scripts; Web Accessible Resources
41,edfjfgjklednkencfhnokmkajbgfhpon,1520.0,Critical,0,1520,1.5,-1.5,100000,4.806169078446306,2626,190,0,Content Scripts; Web Accessible Resources
42,occcfdnjdbgjglcbpolkmjnjillkgbcm,1518.0,Critical,14,1504,0.0,0.0,663,4.076923076923077,26,188,2,
43,afopanbkaaojicelmcniljbdphjagpie,1513.0,Critical,0,1512,0.0,1.0,278,5.0,1,378,0,Content Scripts; Web Accessible Resources
44,kkldgaaaafjoipnomoinnkccihdiffee,1513.0,Critical,0,1512,0.0,1.0,268,4.833333333333333,6,189,0,Content Scripts
45,kalmlbhhgndofalfencmggfncedfajgj,1505.5,Critical,0,1504,0.5,1.0,1000,4.8,5,188,0,Content Scripts; Web Accessible Resources
46,kdibhchppeokcmdamhekocbnkjkodoii,1505.0,Critical,0,1504,0.0,1.0,264,4.5,8,188,0,Content Scripts
47,neibhohkbmfjninidnaoacabkjonbahn,1503.5,Critical,7,1496,1.0,-0.5,40000,4.86036036036036,444,187,1,Content Scripts
48,hjddgjkkokbapkhocdbaogilmfbdiclh,1503.0,Critical,6,1496,0.0,1.0,23,5.0,3,187,1,
49,ippkeibgeeegemmdjhlhbdlcfjkgjann,1499.0,Critical,2,1496,1.0,0.0,10000,4.970588235294118,68,187,1,Content Scripts
50,jmmgojgkkgfbbeefhdipekdjfmphipae,1497.0,Critical,0,1496,0.0,1.0,397,5.0,7,187,0,Content Scripts; Web Accessible Resources
51,cdhaigmanicpbljnfhmajjenclddejeo,1281.0,Critical,0,1280,0.0,1.0,79,5.0,7,160,0,Content Scripts; Web Accessible Resources
52,cefjlfachafjglgeechpnnigkpcehbgf,1182.0,Critical,13,1168,0.0,1.0,35,5.0,5,146,3,Content Scripts; Web Accessible Resources
53,lbkiafnipfoblbkckpickbjijclffdpl,1159.0,Critical,8,1150,0.0,1.0,139,5.0,3,192,2,
54,hlliejkmdedomoiljgjeoiihljblmphp,1089.0,Critical,0,1088,0.0,1.0,41,4.8,5,136,0,Content Scripts
55,djhndpllfiibmcdbnmaaahkhchcoijce,1085.0,Critical,12,1072,1.0,0.0,20000,3.1481481481481484,54,134,3,Content Scripts; Web Accessible Resources
56,hceobhjokpdbogjkplmfjeomkeckkngi,1083.5,Critical,27,1056,1.0,-0.5,60000,4.682795698924731,186,238,5,Content Scripts; Web Accessible Resources
57,jpjenhakmhhhiiomnonmcdgialbbhgfg,1029.5,Critical,8,1020,0.5,1.0,1000,4.6,5,128,2,Externally Connectable; Content Scripts; Web Accessible Resources
58,khfakjpfkipjmnnhgohbdhcikppbdlea,990.0,Critical,13,976,0.0,1.0,0,5.0,1,122,2,Content Scripts
59,jmkaieepcjnofkicafdelmdpigjdankd,989.5,Critical,13,976,1.0,-0.5,20000,4.377483443708609,151,122,2,Content Scripts; Web Accessible Resources
60,komgobpflpejlpikjbcppdaicdpjeapl,894.0,Critical,9,884,0.0,1.0,23,5.0,1,215,2,Content Scripts; Web Accessible Resources
61,fojcpnmhelbpakmgaakfhjlmjokocgjg,881.0,Critical,0,880,1.0,0.0,10000,4.141304347826087,92,110,0,Content Scripts
62,njaodcoemplngimnhkahckmoabggpolh,855.0,Critical,51,802,1.0,1.0,10000,4.666666666666667,3,119,9,Externally Connectable; Content Scripts
63,hnknnkckghcijojliahgobdpaedjblig,826.0,Critical,17,808,0.0,1.0,55,5.0,4,202,4,Content Scripts; Web Accessible Resources
64,eciaojnpihmgkbacgpjnimcpkfeklgag,822.5,Critical,17,804,0.5,1.0,7000,3.3333333333333335,6,198,3,Content Scripts
65,eclkhclgoeeocbiiopoppfgfljnfkhfl,819.0,Critical,14,804,0.0,1.0,346,5.0,3,200,3,Externally Connectable; Content Scripts; Web Accessible Resources
66,nfknmjflaoenbigbfmijdpcfgbnbhbgj,819.0,Critical,2,816,0.0,1.0,36,5.0,8,102,1,Externally Connectable; Content Scripts
67,injanakciaoflbhcecmnpdekfflnllfd,810.5,Critical,2,808,0.5,0.0,8000,3.9615384615384617,26,101,1,Content Scripts; Web Accessible Resources
68,gknglaaghegokgbicldblgagffgnkmdo,808.0,Critical,7,800,0.0,1.0,18,4.875,8,100,2,Content Scripts
69,elompmlaepbjbckjcahllcgkpnkmpoln,806.0,Critical,21,784,0.0,1.0,547,3.0,8,196,4,Content Scripts; Web Accessible Resources
70,ghkajljejbohkfndpmljjnlkilgmpjbg,802.0,Critical,5,796,0.0,1.0,27,5.0,6,199,1,Content Scripts
71,kbigminlcdmikfhdkfjcmocnjhkikhpp,799.5,Critical,10,788,0.5,1.0,2000,4.428571428571429,7,196,3,Content Scripts
72,eipobogihmlkhppcgkcgcocccpcjcegj,798.5,Critical,10,788,1.0,-0.5,20000,4.708154506437769,233,196,3,Content Scripts
73,fficfkginiidknkbmlcdiojphhkokggh,798.0,Critical,42,754,1.0,1.0,20000,4.857142857142857,7,95,7,Content Scripts; Web Accessible Resources
74,plhnpmpiichakphakdfnopladaehjcan,795.0,Critical,22,772,0.0,1.0,77,5.0,0,193,4,Content Scripts; Web Accessible Resources
75,cholkigafekgccbkfgcmcigihipbnjoe,787.0,Critical,22,764,0.0,1.0,4,5.0,0,128,4,Content Scripts
76,ppodjebdnlnpkopbegapnmlpajdphgea,781.0,Critical,4,776,1.0,0.0,10000,4.190476190476191,42,194,1,Web Accessible Resources
77,cnailmoibfjlnlnjedbgbjbononifola,779.0,Critical,6,772,0.0,1.0,11,5.0,0,193,1,
78,ikaphgfmnjpnaieoipkclkgbbpkhgjdd,778.0,Critical,17,760,0.0,1.0,134,5.0,0,190,3,Content Scripts; Web Accessible Resources
79,ghobnecdmkccjpaecanmpndfjjimhkmg,777.5,Critical,17,760,0.5,0.0,3000,4.947368421052632,19,190,3,Content Scripts; Web Accessible Resources
80,mieijmanmgooephlanpgcophhnigdjmm,776.0,Critical,15,760,0.0,1.0,0,5.0,0,190,2,
81,jfjcobdgpgnlhbibdbobbplehgkmjdni,772.5,Critical,0,772,0.5,0.0,3000,4.177777777777778,45,193,0,Content Scripts
82,ogbnplgfglcjlbplclgejnmfkccollba,771.5,Critical,2,768,0.5,1.0,1000,5.0,8,192,1,Web Accessible Resources
83,lebidiomlfhgnnlpilmijgpooadhbafe,771.0,Critical,2,768,0.0,1.0,32,4.0,4,192,1,Content Scripts
84,hncphglplgedlblbagigfbcdckfnfocc,770.0,Critical,2,768,0.0,0.0,57,5.0,37,192,1,Web Accessible Resources
85,dmjjhkekpcojffdcahdljlefgmoinbil,768.5,Critical,0,768,0.5,0.0,1000,3.909090909090909,11,96,0,Content Scripts; Web Accessible Resources
86,pcanlonlgkpkopcincgplmomoemfknid,768.0,Critical,7,760,0.0,1.0,7,5.0,0,190,2,Content Scripts
87,kjffabibegojdmknibcophlonmadkpin,766.5,Critical,6,760,0.5,0.0,5000,3.769230769230769,13,190,1,
88,fdhodjpkigpaachejkipcghppfnnfdmp,763.0,Critical,6,756,0.0,1.0,867,5.0,2,188,1,Content Scripts
89,bifjgigmknapkmmjpjbabhjjpdhkgaoe,740.5,Critical,28,712,0.5,0.0,4000,4.9,10,89,5,Externally Connectable; Content Scripts; Web Accessible Resources
90,ldbgleeobagfhpcdkhicceblllpanifg,716.0,Critical,17,698,0.0,1.0,337,4.0,4,93,3,
91,cppibjhfemifednoimlblfcmjgfhfjeg,714.5,Critical,27,686,0.5,1.0,2000,5.0,5,144,5,Content Scripts
92,ncnopohimhnfkgjblanocljeelgdgdaj,695.5,Critical,23,672,1.0,-0.5,10000,4.9945054945054945,364,84,6,Content Scripts; Web Accessible Resources
93,efpdoecoppfgafkgfiolfcomiiakloee,695.0,Critical,23,672,0.5,-0.5,2000,4.986531986531986,297,84,6,Content Scripts; Web Accessible Resources
94,hphpodppjfegboiaddkpkceedjjjjjma,692.0,Critical,35,656,0.0,1.0,502,5.0,1,83,6,Externally Connectable; Web Accessible Resources
95,mgbpacefbfenjcggcphlnjmfbnebknmc,688.0,Critical,37,650,0.0,1.0,28,5.0,2,82,7,Content Scripts; Web Accessible Resources
96,onjognbgbnmfphbkmmlioookldhncedp,667.5,Critical,23,644,0.5,0.0,1000,3.9705882352941178,34,108,5,Content Scripts; Web Accessible Resources
97,lhdlfiafilndphjpdajopnoffiliemlh,666.0,Critical,17,648,0.0,1.0,70,5.0,3,85,3,Content Scripts
98,lomenbkljhamnacpgmmlmkgmhacajlip,662.0,Critical,17,644,0.0,1.0,761,4.75,4,84,3,Content Scripts
99,nllmhkndckkdonpjjdamcgegangaocam,661.0,Critical,0,660,0.0,1.0,2,5.0,0,165,0,Content Scripts
100,bafijghppfhdpldihckdcadbcobikaca,646.5,Critical,30,616,1.5,-1.0,600000,4.260076775431862,1042,154,5,Externally Connectable; Content Scripts; Web Accessible Resources
101,nedignlemikjbdgobponibkecbiockad,642.0,Critical,29,612,0.0,1.0,9,5.0,3,80,5,Content Scripts; Web Accessible Resources
102,ehmbblmfmfbnilannaiadknogghebnph,639.0,Critical,14,624,0.0,1.0,14,5.0,0,78,3,Content Scripts; Web Accessible Resources
103,iolhbomflkmcfcpipehndmcapekbgkdc,638.0,Critical,37,600,0.0,1.0,55,5.0,0,75,6,Content Scripts; Web Accessible Resources
104,iebonbjohbopnfohoblbggfhkfddodom,637.0,Critical,8,628,0.0,1.0,116,5.0,4,79,2,Content Scripts; Web Accessible Resources
105,dbekdnndlpdnoghkpmfbbpijlopndakk,637.0,Critical,8,628,0.0,1.0,22,5.0,5,98,1,Externally Connectable; Content Scripts; Web Accessible Resources
106,lmedmffgcbjfnmcomngdiijjcapegfmn,634.0,Critical,17,616,0.0,1.0,7,5.0,1,77,3,Content Scripts
107,nmeplflfebplpbheibfanmlilckongjn,628.0,Critical,43,584,0.0,1.0,159,5.0,0,146,7,Content Scripts
108,fdimhidakfmdgkallbdmeppjflemagmk,628.0,Critical,43,584,0.0,1.0,13,5.0,0,146,7,Content Scripts
109,plkdnpjpnhhnmigmekaocdfokkmebdnm,622.0,Critical,17,604,1.0,0.0,10000,4.0,71,77,3,Content Scripts; Web Accessible Resources
